iter	Passed	Remaining
241	1216	23912
242	1221	23910
243	1226	23913
244	1232	23927
245	1237	23917
246	1242	23911
247	1247	23911
248	1252	23904
249	1257	23895
250	1263	23900
251	1268	23893
252	1273	23894
253	1279	23899
254	1284	23897
255	1289	23894
256	1294	23888
257	1300	23894
258	1305	23892
259	1310	23885
260	1315	23878
261	1320	23872
262	1325	23877
263	1330	23870
264	1335	23867
265	1340	23860
266	1346	23863
267	1351	23859
268	1356	23851
269	1361	23847
270	1366	23839
271	1371	23834
272	1375	23824
273	1380	23818
274	1385	23808
275	1390	23800
276	1395	23797
277	1400	23787
278	1405	23776
279	1410	23775
280	1415	23778
281	1421	23775
282	1426	23775
283	1431	23770
284	1436	23766
285	1441	23760
286	1446	23760
287	1451	23752
288	1456	23745
289	1462	23747
290	1467	23742
291	1471	23732
292	1477	23736
293	1482	23730
294	1487	23724
295	1492	23720
296	1497	23713
297	1502	23704
298	1507	23697
299	1512	23694
300	1517	23686
301	1522	23681
302	1527	23672
303	1531	23658
304	1536	23650
305	1541	23645
306	1546	23637
307	1552	23645
308	1557	23637
309	1561	23626
310	1566	23621
311	1571	23613
312	1576	23610
313	1581	23602
314	1586	23593
315	1591	23587
316	1596	23577
317	1600	23571
318	1605	23565
319	1611	23561
320	1615	23553
321	1620	23548
322	1625	23542
323	1630	23533
324	1635	23527
325	1640	23520
326	1645	23512
327	1649	23500
328	1655	23503
329	1660	23500
330	1666	23502
331	1671	23499
332	1676	23495
333	1681	23492
334	1687	23493
335	1692	23490
336	1697	23484
337	1702	23484
338	1707	23483
339	1712	23478
340	1718	23482
341	1724	23487
342	1729	23488
343	1735	23490
344	1741	23495
345	1746	23497
346	1752	23501
347	1758	23500
348	1763	23494
349	1768	23489
350	1773	23484
351	1777	23477
352	1783	23479
353	1788	23473
354	1793	23466
355	1798	23457
356	1802	23448
357	1807	23437
358	1812	23431
359	1817	23421
360	1821	23409
361	1826	23401
362	1831	23390
363	1835	23379
364	1840	23369
365	1844	23359
366	1849	23348
367	1854	23339
368	1859	23331
369	1863	23324
370	1868	23315
371	1873	23313
372	1878	23306
373	1883	23297
374	1888	23291
375	1893	23284
376	1898	23277
377	1903	23270
378	1907	23262
379	1912	23253
380	1917	23246
381	1922	23242
382	1927	23236
383	1932	23226
384	1937	23221
385	1941	23212
386	1946	23204
387	1951	23196
388	1956	23191
389	1961	23186
390	1966	23176
391	1970	23168
392	1975	23163
393	1980	23155
394	1986	23155
395	1991	23151
396	1996	23152
397	2001	23144
398	2006	23140
399	2011	23130
400	2016	23128
401	2022	23131
402	2027	23130
403	2032	23122
404	2037	23118
405	2042	23114
406	2047	23102
407	2052	23101
408	2057	23095
409	2062	23094
410	2068	23090
411	2073	23087
412	2078	23080
413	2082	23073
414	2088	23075
415	2093	23070
416	2099	23068
417	2104	23068
418	2109	23060
419	2114	23053
420	2118	23047
421	2123	23039
422	2128	23028
